3045,台灣大,9.26
1301,台塑,8.94
2357,華碩,8.15
2301,光寶科,4.3
2324,仁寶,4.11
2206,三陽工業,3.03
2356,英業達,2.98
9939,宏全,2.63
1215,卜蜂,2.49
1232,大統益,2.34
2385,群光,2.3
2303,聯電,2.29
5434,崇越,2.21
2454,聯發科,2.1
9917,中保科,2.1
3044,健鼎,1.85
6176,瑞儀,1.75
3702,大聯大,1.57
2451,創見,1.56
2382,廣達,1.55
2204,中華,1.52
9940,信義,1.52
5522,遠雄,1.5
6412,群電,1.46
2885,元大金,1.44
2891,中信金,1.38
1513,中興電,1.32
6239,力成,1.31
2015,豐興,1.11
2504,國產,1.05
2377,微星,0.98
2881,富邦金,0.97
5306,桂盟,0.97
3010,華立,0.94
3036,文曄,0.92
6269,台郡,0.92
2006,東和鋼鐵,0.91
2882,國泰金,0.91
2883,開發金,0.89
2353,宏碁,0.88
6278,台表科,0.86
1303,南亞,0.85
6257,矽格,0.84
2408,南亞科,0.83
2441,超豐,0.8
2449,京元電子,0.8
6202,盛群,0.75
2379,瑞昱,0.7
8150,南茂,0.7
2458,義隆,0.66
